nom,snmpcontact,dns,iosv,ip,modele,marque
Elementaire-Lapie,VPNWACISMAT,paul-lapie-ele.ecoles.internetpublic.fr,8.4(1),172.25.76.150,Cisco ASA 5505,Cisco,
Elementaire-Poincare,LTxxxx-CABLE-NB-NCB-100M,Raymond-Poincare-e-m.ecoles.internetpublic.fr,8.4(1),172.25.43.150,Cisco ASA 5505,Cisco,
Elementaire-Vieux-Bordeaux,LTxxxx-ADSL-LB-OBS-20M,Vieux-Bordeaux-23.ecoles.internetpublic.fr,8.4(1),172.25.23.150,Cisco ASA 5505,Cisco,
Elementaire-Montaud,LTxxxx-ADSL-LB-OBS-20M,Montaud-e.ecoles.internetpublic.fr,8.4(1),172.25.28.150,Cisco ASA 5505,Cisco,
Groupe-Achard,,rtrecole_Achard-e-m,8.4(1),172.25.36.150,Cisco ASA 5505,Cisco,
Elementaire-Barraud,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Barraud-e,8.4(1),172.25.21.150,Cisco ASA 5505,Cisco,
Groupe-Martin,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Martin-e-m,8.4(1),172.25.37.150,Cisco ASA 5505,Cisco,
Elementaire-Cocteau,,rtrecole_cocteau-e,8.4(1),172.25.74.150,Cisco ASA 5505,Cisco,
Maternelle-Cocteau,,rtrecole_cocteau-m,8.4(1),172.25.83.150,Cisco ASA 5505,Cisco,
Elementaire-Johnston,LTxxxx-ADSL-LB-OBS-20M,rtrecole_johnston.ecoles,8.4(1),172.25.12.150,Cisco ASA 5505,Cisco,
Elementaire-Dupaty,LTxxxx-ADSL-LB-OBS-20M,Dupaty-e-14.ecoles.internetpublic.fr,8.4(1),172.25.14.150,Cisco ASA 5505,Cisco,
Groupe-Dupeux,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Dupeux-e-m,8.4(1),172.25.51.150,Cisco ASA 5505,Cisco,
Maternelle-Ferry,LTxxxx-CABLE-NB-NCB-100M,rtrecole_ferry-m,8.4(1),172.25.86.150,Cisco ASA 5505,Cisco,
Elementaire-Flornoy,LTxxxx-ADSL-LB-OBS-8M,rtrecole_flornoy-e-m,8.4(1),172.25.71.150,Cisco ASA 5505,Cisco,
Elementaire-Francin,LTxxxx-ADSL-LB-OBS-8M,rtrecole_francin-e,8.4(1),172.25.81.150,Cisco ASA 5505,Cisco,
