Communes,Site,Adresse,Localisation box,Techno,Opérateur,N° Marché,N° Contrat,N° Mandat,Hotline,Ligne support,Référence opérateur,IP Fixe,vlan,Débit,GTR Hebdo,GTR (h),Dégroupage (Partiel/Total),Coût (TTC/mois)
Blanquefort,ALSH Chaumiere,Avenue du 8 mai,Bureau responsable,VDSL,Free,Pas de marché,,24731511,3244,05 56 35 11 43,16468363,82.229.64.156,,"27,9",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,ALSH Charmille,Rue du Maréchal de Lattre de Tassigny,Bureau responsable,ADSL2,Free,Pas de marché,,24731524,3244,05 56 35 34 44,16468351,88.168.253.128,,"4,8",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,ALSH Fongravey,Rue de Fongravey,Bureau responsable,ADSL2,Free,Pas de marché,,24731568,3244,05 56 28 65 35,16468399,88.168.253.137,,"1,6",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Complexe Sportif de Fongravey,Rue Jean Moulin,Bureau responsable,ADSL2,Free,Pas de marché,,24731498,3244,05 56 28 71 15,16468340,88.168.252.78,,"5,6",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Ele. Bourg,Rue Amédée Tastet,Bureau Direction,ADSL2,Free,Pas de marché,,24841464,3244,05 56 35 05 26,16556226,88.180.249.160,,"6,7",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Ele. Caychac 2 (Bat. Principal),1 rue des Gravières,Placard electrique RDC,VDSL,Free,Pas de marché,,24841608,3244,05 56 35 02 14,16556356,88.180.249.164,,"82,5",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Ele. Caychac 1 (Bat. Petite cours),1 rue des Gravières,Bureau Intervenant,VDSL,Free,Pas de marché,,24841505,3244,05 56 57 12 75,16556264,88.180.249.163,,"78,5",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Ele. La Renney,11 rue de la Renney,Bureau Direction,ADSL2,Free,Pas de marché,,24841482,3244,05 56 57 07 20,16556242,88.180.249.88,,"4,7",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Mairie,12 rue Dupaty,Local Serveur,ADSL2,Free,Pas de marché,,24619112,3244,05 56 57 50 41,16390408,88.168.252.245,,"8,5",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Mat. Caychac,Rue de la Rivière,Bureau Direction,VDSL,Free,Pas de marché,,25152498,3244,05 56 95 05 95,16805798,88.168.255.15,,"76,3",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Mat. Curegan,27 rue de Lattre de Tassigny,Salle des Maitres,ADSL2,Free,Pas de marché,,25152502,3244,05 56 35 12 63,16805802,88.168.255.103,,"4,9",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Mat. Dulamon,Avenue du 8 Mai,Hall d'entrée (Sur une étagere),VDSL,Free,Pas de marché,,25152510,3244,05 56 35 18 44,16805808,78.240.178.94,,"26,2",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Mat. La Renney,13 rue de la Renney,Bureau Direction,ADSL2,Free,Pas de marché,,25152494,3244,05 56 35 32 24,16805794,88.168.253.74,,"4,8",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Mat. Saturne,Rue de Lestaing,Armoire de brassage,ADSL2,Free,Pas de marché,,24615272,3244,05 56 35 32 59,16387399,82.229.64.117,,"15,1",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Mediatheque,4 rue du Docteur Castéra,Armoire de brassage,ADSL2,Free,Pas de marché,,24662347,3244,05 56 95 07 88,16425048,88.180.248.216,,"7,6",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Piscine Municipal,Rue de la Renney  ,Bureau du responsable,ADSL2,Free,Pas de marché,,24731474,3244,05 56 28 59 11,16468317,88.168.252.74,,"4,3",Lun-Sam,10,Partiel,"31,98  "
Blanquefort,Relais d'Assistance Maternelle,27 Rue de Lattre de Tassigny,Bureau du responsable,ADSL2,Free,Pas de marché,,24730763,3244,05 56 95 13 55,16467685,88.168.252.53,,"4,6",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Restauration Ele. Saturne,Rue de Lestaing,Poste informatique des agents,ADSL2,Free,Pas de marché,,27933244,3244,05 56 35 13 25,19026869,78.240.178.110,,"14,8",Lun-Sam,10,Partiel,"29,99  "
Blanquefort,Salle Polyvalente de Fongravey,Rue Jean Moulin,Boitier à coté du telephone,ADSL2,Free,Pas de marché,,24841559,3244,05 56 95 20 08,16556315,78.240.178.90,,"4,2",Lun-Sam,10,Partiel,"31,98  "
Ambarès,Hôtel de ville,18 place de la Victoire,Salle serveur,FO,ADISTA,2015021,15S0011,,383988930,,Mairie FO - Internet - Principal,-,,20,Lun-Sam,4,,"654,50  "
Ambarès,Hôtel de ville,18 place de la Victoire,Salle serveur,SDSL,ADISTA,2015021,15S0011,,383988930,,Mairie - Internet - Secours,-,,4,Lun-Sam,4,,"170,00  "
Ambarès,Bibliothèque,9 rue Edmon Faulat,Placard à gauche de l'entrée,SDSL,ADISTA,2015021,15S0011,,383988930,,Bibliotheque,-,,4,Lun-Sam,4,,"233,75  "
Ambarès,Bibliothèque,9 rue Edmon Faulat,Placard à gauche de l'entrée,ADSL,ADISTA,2015021,15S0011,,383988930,,Bibliothèque - Internet,-,,8,Lun-Sam,4,,"38,25  "
Ambarès,MPE,7 rue Louis Massina,Placard à gauche de l'entrée,SDSL,ADISTA,2015021,15S0011,,383988930,,Maison de la petite enfance,-,,4,Lun-Sam,4,,"170,00  "
Ambarès,CSC,1 rue Louis Massina,Baie de brassage,SDSL,ADISTA,2015021,15S0011,,383988930,,Ambares-CSC-Mitterrand,-,,4,Lun-Sam,4,,"170,00  "
Ambarès,CCAS,4 rue Louis Massina,Baie de brassage,SDSL,ADISTA,2015021,15S0011,,383988930,,CCAS,-,,4,Lun-Sam,4,,"170,00  "
Ambarès,École Primaire François Aubouin,Avenue Léon Blum,Salle informatique,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Primaire F. Aubouin,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Maternelle et Primaire Belair,18 avenue de l'Europe,Arrivée dans la maternelle au bout du couloir à gauche dans un placard,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Maternelle  Primaire Bel Air,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Maternelle du Bourg,13 rue du Président Coty,Bureau de la directrice,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Maternelle bourg,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Maternelle Maternelle Charles Perrault,13 rue Lamartine,Bureau de la directrice,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Maternelle Ch Perrault,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Primaire Lagorp,1 avenue Jules Ferry,Salle informatique,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Primaire Lagorp,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Maternelle Lagrave,8 rue de la vierge,Bureau de la directrice,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Maternelle Lagrave,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École Maternelle Souris Verte,38 avenue du chemin de la vie,Bureau de la directrice,ADSL,ADISTA,2015021,15S0011,,383988930,,Ecole Maternelle Souris Verte,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,CLSH M,Place de la Victoire,Bureau de la directrice de Tom Pouce,ADSL,ADISTA,2015021,15S0011,,383988930,,Centre de loisir Maternelle,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,CLSH P,Place de la Victoire,Bureau de la directrice,ADSL,ADISTA,2015021,15S0011,,383988930,,Centre de loisir primaire,-,,8,Lun-Sam,8,,"38,25  "
